n,a_n,b_n,c_n,avg
1,-1,-1,9,2.33333
2,-31,-31,69,2.33333
3,-331,-331,669,2.33333
4,-3331,-3331,6669,2.33333
5,-33331,-33331,66669,2.33333
6,-333331,-333331,666669,2.33333
7,-3333331,-3333331,6666669,2.33333
8,-33333331,-33333331,66666669,2.33333
9,-333333331,-333333331,666666669,2.33333
10,961633965,961633965,-1923267923,2.33333
11,1026405037,1026405037,-2052810067,2.33333
12,1674115757,1674115757,946735789,2.33333
13,-438711635,-438711635,877423277,2.33333
14,-92149075,-92149075,184298157,2.33333
15,-921490771,-921490771,1842981549,2.33333
16,-624973139,-624973139,1249946285,2.33333
17,-1954764115,-1954764115,-385439059,2.33333
18,1927195309,1927195309,440576685,2.33333
19,2092083885,2092083885,110799533,2.33333
20,-553997651,-553997651,1107995309,2.33333
